Time Range,Arrival Profile,Departure Profile
00:00 - 06:00,146,161
06:00 - 07:00,46,16
07:00 - 08:00,46,19
08:00 - 09:00,110,36
09:00 - 10:00,147,69
10:00 - 11:00,253,141
11:00 - 12:00,308,179
12:00 - 13:00,349,221
13:00 - 14:00,477,298
14:00 - 15:00,532,299
15:00 - 16:00,698,387
16:00 - 17:00,1352,572
17:00 - 18:00,2600,934
18:00 - 19:00,3345,1153
19:00 - 20:00,1995,995
20:00 - 21:00,417,243
21:00 - 22:00,178,172
22:00 - 23:00,785,1343
23:00 - 00:00,380,2665
