Time Range,Arrival Profile,Departure Profile
00:00 - 06:00,96,24
06:00 - 07:00,75,27
07:00 - 08:00,86,22
08:00 - 09:00,248,29
09:00 - 10:00,592,90
10:00 - 11:00,1151,180
11:00 - 12:00,2192,215
12:00 - 13:00,4032,363
13:00 - 14:00,6894,688
14:00 - 15:00,7293,1011
15:00 - 16:00,3598,1284
16:00 - 17:00,476,303
17:00 - 18:00,240,269
18:00 - 19:00,176,1704
19:00 - 20:00,248,4898
20:00 - 21:00,113,1659
21:00 - 22:00,29,180
22:00 - 23:00,21,56
23:00 - 00:00,9,11
