Time Range,Arrival Profile,Departure Profile
00:00 - 06:00,231,135
06:00 - 07:00,81,40
07:00 - 08:00,149,34
08:00 - 09:00,293,95
09:00 - 10:00,383,176
10:00 - 11:00,448,218
11:00 - 12:00,735,307
12:00 - 13:00,962,350
13:00 - 14:00,1336,416
14:00 - 15:00,1917,713
15:00 - 16:00,2367,932
16:00 - 17:00,2261,934
17:00 - 18:00,1705,866
18:00 - 19:00,675,469
19:00 - 20:00,266,227
20:00 - 21:00,191,250
21:00 - 22:00,275,367
22:00 - 23:00,630,2179
23:00 - 00:00,251,1868
