Time Range,Arrival Profile,Departure Profile
00:00 - 06:00,564,2128
06:00 - 07:00,673,116
07:00 - 08:00,836,256
08:00 - 09:00,827,343
09:00 - 10:00,1032,347
10:00 - 11:00,1480,499
11:00 - 12:00,2000,610
12:00 - 13:00,2208,852
13:00 - 14:00,2487,1037
14:00 - 15:00,2381,1039
15:00 - 16:00,2240,1011
16:00 - 17:00,1347,798
17:00 - 18:00,1153,879
18:00 - 19:00,823,1677
19:00 - 20:00,631,1420
20:00 - 21:00,584,1004
21:00 - 22:00,589,1150
22:00 - 23:00,409,882
23:00 - 00:00,242,544
