,,,,GREEN LINE,,,PURPLE LINE,,
DATE,EVENT,TIME OF EVENT,TIMEFRAME,EVENT BOARDINGS,DAY OF EVENT RIDERSHIP,AVERAGE MONTHLY DAILY RIDERSHIP,EVENT BOARDINGS,DAY OF EVENT RIDERSHIP,AVERAGE MONTHLY DAILY RIDERSHIP
"Wednesday, October 2, 2024",Houston Astros vs Detroit Tigers Wild Card Playoffs,1:30:00 PM,11:30 AM - 6:00 PM, 553 ," 5,345 "," 4,083 ", 408 ," 7,061 "," 5,916 "
