,,,,GREEN LINE,,,PURPLE LINE,,
DATE,EVENT,TIME OF EVENT,TIMEFRAME,EVENT BOARDINGS,DAY OF EVENT RIDERSHIP,AVERAGE MONTHLY DAILY RIDERSHIP,EVENT BOARDINGS,DAY OF EVENT RIDERSHIP,AVERAGE MONTHLY DAILY RIDERSHIP
"Friday, October 25, 2024",Kamala Harris Rally w/ Beyonce,7:00:00 PM,5:00 PM - 11:30 PM," 1,983 "," 7,163 "," 4,083 "," 2,383 "," 9,544 "," 5,916 "
